participant_id,secs,nsecs,seq_id,difficulty_level,feedback
A9XL9U1N,1648023088,582853555,0,5,0
A9XL9U1N,1648023133,862615346,1,5,1
A9XL9U1N,1648023180,237652540,2,7,0
A9XL9U1N,1648023216,997905969,3,5,0
A9XL9U1N,1648023257,267574787,4,5,1
A9XL9U1N,1648023302,937165498,5,3,0
A9XL9U1N,1648023329,687346935,6,3,2
A9XL9U1N,1648023360,834599971,7,3,0
A9XL9U1N,1648023385,568776845,8,3,2
A9XL9U1N,1648023415,415294885,9,7,0
U3L9LFS0,1648044206,580095052,0,5,0
U3L9LFS0,1648044246,742510557,1,5,1
U3L9LFS0,1648044288,403106451,2,3,0
U3L9LFS0,1648044315,745083808,3,7,0
U3L9LFS0,1648044353,401197910,4,7,1
U3L9LFS0,1648044407,884453058,5,3,0
U3L9LFS0,1648044433,320714473,6,3,2
U3L9LFS0,1648044463,165596246,7,5,0
U3L9LFS0,1648044497,714854478,8,5,2
U3L9LFS0,1648044535,869211673,9,7,0
76HKXYD3,1648052326,267042636,0,5,0
76HKXYD3,1648052357,613381385,1,7,0
76HKXYD3,1648052392,662618398,2,7,2
76HKXYD3,1648052440,838856697,3,3,0
76HKXYD3,1648052469,279448509,4,3,1
76HKXYD3,1648052502,425755739,5,3,0
76HKXYD3,1648052528,363655328,6,3,2
76HKXYD3,1648052558,309399843,7,5,0
76HKXYD3,1648052591,459461688,8,5,1
76HKXYD3,1648052633,24351119,9,7,0
F41CCF9W,1648037537,246434450,0,3,0
F41CCF9W,1648037562,984087705,1,3,1
F41CCF9W,1648037595,535106658,2,5,0
F41CCF9W,1648037631,687337398,3,5,2
F41CCF9W,1648037669,350177764,4,3,0
F41CCF9W,1648037694,195803880,5,3,1
F41CCF9W,1648037723,954491615,6,5,0
F41CCF9W,1648037756,11703014,7,5,2
F41CCF9W,1648037793,670925617,8,7,0
F41CCF9W,1648037838,845475912,9,7,0
COT085MQ,1648050468,374081611,0,5,0
COT085MQ,1648050508,32799959,1,5,2
COT085MQ,1648050551,101170539,2,3,0
COT085MQ,1648050584,45061111,3,3,1
COT085MQ,1648050618,193254470,4,7,0
COT085MQ,1648050668,878335475,5,5,0
COT085MQ,1648050706,435406684,6,5,1
COT085MQ,1648050749,901775360,7,3,0
COT085MQ,1648050776,852044343,8,3,2
COT085MQ,1648050810,103636741,9,7,0
M4OE3RP5,1648042768,754829883,0,5,0
M4OE3RP5,1648042807,910992860,1,5,1
M4OE3RP5,1648042852,695764064,2,3,0
M4OE3RP5,1648042880,749025344,3,3,1
M4OE3RP5,1648042913,96283197,4,3,0
M4OE3RP5,1648042937,843621730,5,7,0
M4OE3RP5,1648042981,310130357,6,7,2
M4OE3RP5,1648043029,786985158,7,5,0
M4OE3RP5,1648043068,650838375,8,5,2
M4OE3RP5,1648043109,814171791,9,7,0
1MBU59SJ,1648025666,154225826,0,7,0
1MBU59SJ,1648025732,60760498,1,7,1
1MBU59SJ,1648025775,733288049,2,7,0
1MBU59SJ,1648025823,912584304,3,3,0
1MBU59SJ,1648025854,565844774,4,3,2
1MBU59SJ,1648025889,317189931,5,5,0
1MBU59SJ,1648025929,80585718,6,5,1
1MBU59SJ,1648025974,953136205,7,5,0
1MBU59SJ,1648026011,308864116,8,5,2
1MBU59SJ,1648026052,172833442,9,3,0
SYBO5F61,1648035344,635013580,0,7,0
SYBO5F61,1648035390,507415294,1,7,1
SYBO5F61,1648035453,312455654,2,3,0
SYBO5F61,1648035482,459018230,3,3,2
SYBO5F61,1648035513,106340408,4,7,0
SYBO5F61,1648035560,675204753,5,3,0
SYBO5F61,1648035586,919367313,6,3,1
SYBO5F61,1648035616,671718358,7,5,0
SYBO5F61,1648035652,233029842,8,5,2
SYBO5F61,1648035697,996919393,9,5,0
6RGY40ES,1648030916,290887355,0,3,0
6RGY40ES,1648030949,452807426,1,3,1
6RGY40ES,1648030981,399629116,2,5,0
6RGY40ES,1648031020,457393407,3,5,1
6RGY40ES,1648031068,537935972,4,3,0
6RGY40ES,1648031096,386889934,5,3,2
6RGY40ES,1648031126,940737009,6,7,0
6RGY40ES,1648031176,518994331,7,7,0
6RGY40ES,1648031232,97045421,8,7,2
6RGY40ES,1648031279,469575166,9,5,0
1CZ1CL1P,1648134366,20385265,0,7,0
1CZ1CL1P,1648134411,912177324,1,7,1
1CZ1CL1P,1648134462,200223207,2,5,0
1CZ1CL1P,1648134492,647630691,3,5,2
1CZ1CL1P,1648134528,700480937,4,3,0
1CZ1CL1P,1648134552,941605806,5,3,2
1CZ1CL1P,1648134584,298776865,6,3,0
1CZ1CL1P,1648134608,738931894,7,5,0
1CZ1CL1P,1648134640,585631847,8,5,1
1CZ1CL1P,1648134677,850065231,9,7,0
Q4ABT87L,1647964869,198011398,0,5,0
Q4ABT87L,1647964907,751979827,1,5,1
Q4ABT87L,1647964946,412546873,2,3,0
Q4ABT87L,1647964970,347527503,3,3,2
Q4ABT87L,1647965007,811973333,4,3,0
Q4ABT87L,1647965033,854053974,5,5,0
Q4ABT87L,1647965069,215525865,6,5,2
Q4ABT87L,1647965107,976296901,7,7,0
Q4ABT87L,1647965153,442941427,8,7,1
Q4ABT87L,1647965202,624842166,9,7,0
Z7U8NLC9,1648041099,970757961,0,5,0
Z7U8NLC9,1648041140,136915206,1,5,2
Z7U8NLC9,1648041188,108115911,2,5,0
Z7U8NLC9,1648041223,562991142,3,5,1
Z7U8NLC9,1648041269,138445138,4,7,0
Z7U8NLC9,1648041313,909435987,5,7,2
Z7U8NLC9,1648041370,796693086,6,3,0
Z7U8NLC9,1648041398,39495944,7,3,0
Z7U8NLC9,1648041423,780558586,8,3,1
Z7U8NLC9,1648041455,834362983,9,7,0
